,initial_alias,name
3,ADSS,ADSS2
14,ATP5G1,ATP5MC1
16,ATP5J,ATP5PF
18,CARS,CARS1
26,GSTT2,GSTT2
31,HIST1H1E,H1-4
35,HIST1H2BD,H2BC5
38,H3F3A,H3-3A
44,CYR61,CCN1
49,ATP6,MT-ATP6
50,ATP8,MT-ATP8
51,COX1,MT-CO1
52,COX2,MT-CO2
53,COX3,MT-CO3
54,CYTB,MT-CYB
55,ND1,MT-ND1
56,ND2,MT-ND2
57,ND4,MT-ND4
58,ND5,MT-ND5
59,MUC2,MUC2
60,MUT,MMUT
63,NOV,CCN3
64,PHB,PHB1
71,TROVE2,RO60
75,TAZ,TAFAZZIN
77,VARS,VARS1
78,WARS,WARS1
83,HIST1H2AB,H2AC4
92,YARS,YARS1
95,FCGBP,FCGBP
98,C14ORF2,ATP5MJ
100,KIAA0100,KIAA0100
103,COL4A3BP,CERT1
115,AKAP2,AKAP2
116,ICK,CILK1
125,TMEM2,CEMIP2
130,MYLPF,MYL11
131,ZNRD1,POLR1H
132,CYHR1,ZFTRAF1
137,FAM49B,CYRIB
139,MPP6,PALS2
143,UHRF1BP1,UHRF1BP1
145,IMPAD1,BPNT2
159,H2AFY2,MACROH2A2
162,H2AFJ,H2AJ
164,FAM214A,FAM214A
165,TMEM159,LDAF1
173,ZBED8,ZBED8
178,C16ORF58,RUSF1
181,C6ORF106,ILRUN
188,C7ORF26,INTS15
194,EFCAB1,CLXN
214,HIST1H2BK,H2BC12
218,C16ORF45,BMERB1
220,SAMD1,SAMD1
230,CASC4,GOLM2
237,BTBD11,ABTB3
249,KDELC2,POGLUT3
252,CBWD2,CBWD2
264,ORAOV1,LTO1
270,MUC19,MUC19
271,C16ORF91,C16orf91
273,ZADH2,PTGR3
274,C19ORF54,C19orf54
275,FAM102B,FAM102B
288,FAM102A,FAM102A
291,CARD17,CARD17
295,CBWD3,CBWD3
300,ERVMER34-1,ERVMER34-1
301,NEDD8-MDP1,NEDD8-MDP1
305,ZNF511-PRAP1,ZNF511-PRAP1
313,C5ORF49,C5orf49
314,C9ORF116,PIERCE1
317,HIST1H2BJ,H2BC11
318,HIST1H2BN,H2BC15
324,ND6,MT-ND6
325,ARMCX5-GPRASP2,GPRASP2
328,C12ORF49,SPRING1
329,CRYZL2P-SEC16B,SEC16B
335,MSANTD3-TMEFF1,MSANTD3-TMEFF1
341,ND3,MT-ND3
342,PQLC2,SLC66A1
345,CYP2D7,CYP2D7
346,DHRS4L1,DHRS4L1
357,C15ORF38-AP3S2,ARPIN-AP3S2
358,RPS10-NUDT3,RPS10
361,LHX4-AS1,ACBD6
362,PALM2,PALM2AKAP2
364,TMEM256-PLSCR3,TMEM256-PLSCR3
367,PTMAP4,PTMAP4
370,RPS3AP47,RPS3AP47
372,HIST1H2AC,H2AC6
375,NPM1P21,NPM1P21
392,KIAA1107,BTBD8
399,C10ORF67,C10orf67
409,C10ORF90,C10orf90
412,ANUBL1,ZFAND4
420,C8ORF48,C8orf48
429,C1ORF112,C1orf112
437,FAM189A1,FAM189A1
438,C8ORF58,C8orf58
447,C12ORF50,C12orf50
448,C14ORF39,C14orf39
456,C12ORF56,C12orf56
464,C9ORF50,C9orf50
469,CDRT1,FBXW10B
472,C17ORF64,C17orf64
476,C10ORF71,C10orf71
477,C7ORF31,C7orf31
493,C10ORF120,C10orf120
498,KIAA0895L,KIAA0895L
502,C16ORF54,C16orf54
506,C5ORF52,C5orf52
509,C12ORF60,C12orf60
513,C11ORF65,C11orf65
514,C1ORF100,C1orf100
517,C20ORF202,C20orf202
519,C9ORF131,C9orf131
522,C2ORF15,C2orf15
523,C6ORF62,C6orf62
526,C6ORF226,C6orf226
536,C3ORF62,C3orf62
537,FAM71B,GARIN3
538,ALS2CR8,CARF
540,C1ORF63,RSRP1
541,C7ORF61,SPACDR
550,C17ORF99,C17orf99
551,C16ORF78,C16orf78
554,C6ORF118,C6orf118
557,C2ORF74,C2orf74
558,C19ORF40,FAAP24
